From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (),Xylene (ug/m3),AT (degree C),RF (mm)
2021-06-10 08:00:00,2021-06-10 09:00:00,62.04,99.0,,72.43,,41.25,3.92,0.85,13.72,3.27,,,,64.85,1.66,263.56,220.7,,,0.68,,,0.0
2021-06-10 09:00:00,2021-06-10 10:00:00,66.85,107.1,,101.78,,43.2,3.78,0.8,14.48,3.45,,,,54.25,3.38,266.25,221.0,,,0.68,,,0.0
2021-06-10 10:00:00,2021-06-10 11:00:00,74.21,117.8,,117.68,,41.55,3.64,0.79,15.96,3.53,,,,50.29,4.8,279.74,221.0,,,0.68,,,0.0
2021-06-10 11:00:00,2021-06-10 12:00:00,74.31,119.62,,125.1,,42.98,3.83,0.77,15.84,3.65,,,,48.09,5.38,284.31,221.18,,,0.68,,,0.0
2021-06-10 12:00:00,2021-06-10 13:00:00,79.76,126.6,,133.26,,42.97,3.75,0.76,15.95,4.04,,,,45.03,5.78,283.49,221.3,,,0.68,,,0.0
2021-06-10 13:00:00,2021-06-10 14:00:00,87.34,138.3,,122.41,,43.41,3.51,0.77,16.05,3.92,,,,44.0,5.91,286.64,221.07,,,0.68,,,0.0
2021-06-10 14:00:00,2021-06-10 15:00:00,118.42,189.97,,121.78,,41.82,3.69,0.76,16.13,3.89,,,,45.56,4.94,281.43,221.0,,,0.68,,,0.0
2021-06-10 15:00:00,2021-06-10 16:00:00,95.31,152.85,,112.82,,40.44,3.35,0.76,15.89,3.8,,,,46.04,3.63,273.12,220.9,,,0.68,,,0.0
2021-06-10 16:00:00,2021-06-10 17:00:00,105.66,173.8,,106.87,,40.44,2.9,0.76,15.54,3.71,,,,48.39,2.38,262.3,221.15,,,0.68,,,0.0
2021-06-10 17:00:00,2021-06-10 18:00:00,104.46,170.07,,107.18,,40.5,3.03,0.76,15.23,3.6,,,,49.04,1.89,263.7,221.13,,,0.68,,,0.0
2021-06-10 18:00:00,2021-06-10 19:00:00,90.36,144.85,,93.69,,39.54,3.35,0.75,15.56,3.25,,,,54.33,1.09,255.5,220.7,,,0.68,,,0.0
2021-06-10 19:00:00,2021-06-10 20:00:00,167.02,254.63,,90.88,,40.63,3.28,0.76,13.39,3.17,,,,61.97,0.86,256.14,220.7,,,0.68,,,0.0
2021-06-10 20:00:00,2021-06-10 21:00:00,329.62,466.2,,83.52,,40.48,3.14,0.78,12.59,3.09,,,,64.11,0.79,255.88,220.6,,,0.68,,,0.0
2021-06-10 21:00:00,2021-06-10 22:00:00,84.09,116.63,,72.22,,39.96,3.31,0.79,12.59,3.11,,,,67.81,0.77,254.33,220.63,,,0.68,,,0.0
2021-06-10 22:00:00,2021-06-10 23:00:00,55.53,86.4,,70.09,,38.11,3.53,0.81,11.75,3.08,,,,65.44,0.74,248.43,220.55,,,0.68,,,0.0
2021-06-10 23:00:00,2021-06-11 00:00:00,454.22,792.0,,66.96,,33.86,2.3,0.88,11.8,3.07,,,,75.28,0.48,233.72,219.35,,,0.68,,,0.0
2021-06-11 00:00:00,2021-06-11 01:00:00,127.14,191.5,,19.76,,34.23,2.26,0.92,10.57,2.92,,,,89.1,0.63,231.19,218.97,,,0.68,,,0.0
2021-06-11 01:00:00,2021-06-11 02:00:00,25.41,33.37,,21.99,,34.31,2.27,0.92,10.49,2.91,,,,89.1,0.64,230.82,219.0,,,0.68,,,0.0
2021-06-11 02:00:00,2021-06-11 03:00:00,42.01,66.0,,22.51,,33.86,2.26,0.92,10.36,2.89,,,,87.06,0.66,226.49,218.73,,,0.68,,,0.0
2021-06-11 03:00:00,2021-06-11 04:00:00,32.34,49.8,,20.69,,34.8,2.3,0.94,10.27,2.83,,,,86.99,0.62,223.49,218.7,,,0.68,,,0.0
2021-06-11 04:00:00,2021-06-11 05:00:00,35.44,55.17,,19.73,,35.26,2.31,0.93,10.34,2.82,,,,83.27,0.34,140.26,218.57,,,0.68,,,0.0
2021-06-11 05:00:00,2021-06-11 06:00:00,34.08,52.0,,19.73,,36.35,2.3,0.92,10.41,2.83,,,,81.41,0.46,107.25,218.3,,,0.68,,,0.0
2021-06-11 06:00:00,2021-06-11 07:00:00,31.07,45.88,,24.28,,37.78,2.32,0.91,10.54,2.84,,,,78.17,0.6,105.44,218.68,,,0.68,,,0.0
2021-06-11 07:00:00,2021-06-11 08:00:00,51.96,82.13,,23.75,,39.66,2.26,0.88,10.9,2.95,,,,70.36,1.04,248.77,220.27,,,0.68,,,0.0
2021-06-11 08:00:00,2021-06-11 09:00:00,54.98,86.4,,39.02,,41.44,2.19,0.81,12.48,3.12,,,,63.0,2.19,260.59,220.73,,,0.68,,,0.0
2021-06-11 09:00:00,2021-06-11 10:00:00,65.36,105.7,,28.54,,45.43,2.19,0.78,12.44,3.42,,,,54.23,3.83,198.92,221.05,,,0.76,,,0.0
2021-06-11 10:00:00,2021-06-11 11:00:00,124.58,205.38,,26.34,,45.77,2.15,0.76,13.34,3.45,,,,52.38,4.82,277.13,221.05,,,0.68,,,0.0
2021-06-11 11:00:00,2021-06-11 12:00:00,194.28,310.65,,24.89,,44.89,2.17,0.76,14.37,3.63,,,,51.42,5.36,277.85,220.9,,,0.68,,,0.0
2021-06-11 12:00:00,2021-06-11 13:00:00,249.76,373.7,,22.86,,41.98,2.15,0.76,13.9,3.59,,,,52.9,5.71,283.42,221.3,,,0.68,,,0.0
2021-06-11 13:00:00,2021-06-11 14:00:00,128.13,195.5,,21.55,,41.66,2.12,0.75,15.17,3.72,,,,44.83,6.01,287.08,221.05,,,0.68,,,0.0
2021-06-11 14:00:00,2021-06-11 15:00:00,245.53,374.0,,21.68,,40.11,2.17,0.76,15.79,3.76,,,,42.53,5.26,279.56,221.4,,,0.68,,,0.0
2021-06-11 15:00:00,2021-06-11 16:00:00,144.31,220.35,,23.21,,40.89,2.16,0.76,15.6,3.71,,,,44.67,3.97,273.17,221.1,,,0.68,,,0.0
2021-06-11 16:00:00,2021-06-11 17:00:00,333.79,526.27,,23.56,,37.41,2.16,0.76,15.26,3.54,,,,45.61,2.66,268.0,221.2,,,0.68,,,0.0
2021-06-11 17:00:00,2021-06-11 18:00:00,182.71,286.7,,25.6,,36.23,2.16,0.77,15.13,3.36,,,,47.52,1.81,263.72,220.95,,,0.68,,,0.0
2021-06-11 18:00:00,2021-06-11 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11 19:00:00,2021-06-11 20:00:00,114.98,183.65,,34.78,,39.39,2.17,0.79,14.42,3.08,,,,56.58,0.91,255.26,220.85,,,0.68,,,0.0
2021-06-11 20:00:00,2021-06-11 21:00:00,111.86,178.97,,27.39,,38.94,2.22,0.81,14.4,3.12,,,,61.22,0.85,252.7,220.8,,,0.68,,,0.0
2021-06-11 21:00:00,2021-06-11 22:00:00,72.74,117.5,,26.65,,40.34,2.22,0.84,13.21,3.18,,,,65.73,0.81,257.18,220.73,,,0.68,,,0.0
2021-06-11 22:00:00,2021-06-11 23:00:00,72.43,117.05,,21.79,,38.5,2.29,0.85,12.85,3.12,,,,66.32,0.79,256.74,220.7,,,0.68,,,0.0
2021-06-11 23:00:00,2021-06-12 00:00:00,65.31,102.7,,21.11,,37.09,2.26,0.85,12.63,3.13,,,,65.69,0.77,253.49,220.65,,,0.68,,,0.0
2021-06-12 00:00:00,2021-06-12 01:00:00,45.74,70.4,,65.36,,37.11,3.42,0.86,13.14,3.1,,,,66.94,0.74,256.09,220.55,,,0.68,,,0.0
2021-06-12 01:00:00,2021-06-12 02:00:00,47.76,73.05,,66.5,,37.7,3.25,0.85,12.23,3.06,,,,66.94,0.75,258.15,220.58,,,0.68,,,0.0
2021-06-12 02:00:00,2021-06-12 03:00:00,42.91,65.37,,67.91,,37.92,3.08,0.85,12.41,3.05,,,,68.68,0.73,253.13,220.47,,,0.68,,,0.0
2021-06-12 03:00:00,2021-06-12 04:00:00,40.38,61.63,,67.43,,39.4,3.49,0.83,11.61,3.03,,,,72.58,0.72,255.97,220.67,,,0.68,,,0.0
2021-06-12 04:00:00,2021-06-12 05:00:00,36.85,56.43,,68.26,,39.97,3.31,0.83,11.73,3.08,,,,74.76,0.7,256.18,220.57,,,0.68,,,0.0
2021-06-12 05:00:00,2021-06-12 06:00:00,38.5,58.43,,71.6,,39.46,3.35,0.84,11.52,3.02,,,,75.79,0.71,257.48,220.4,,,0.68,,,0.0
2021-06-12 06:00:00,2021-06-12 07:00:00,38.35,58.1,,74.09,,41.06,3.21,0.82,11.74,3.05,,,,77.04,0.81,260.45,220.3,,,0.68,,,0.0
2021-06-12 07:00:00,2021-06-12 08:00:00,159.48,232.1,,76.32,,41.74,3.31,0.82,11.88,3.2,,,,72.88,1.31,262.59,220.6,,,0.68,,,0.0
2021-06-12 08:00:00,2021-06-12 09:00:00,29.93,43.75,,91.18,,41.28,3.33,0.81,13.25,3.33,,,,66.83,2.27,263.01,220.9,,,0.68,,,0.0
2021-06-12 09:00:00,2021-06-12 10:00:00,44.73,67.4,,103.06,,41.21,3.36,0.8,14.4,3.48,,,,59.77,3.56,274.26,220.9,,,0.68,,,0.0
2021-06-12 10:00:00,2021-06-12 11:00:00,39.76,60.75,,110.65,,42.11,3.53,0.78,15.24,3.51,,,,58.92,4.01,275.44,221.05,,,0.68,,,0.0
2021-06-12 11:00:00,2021-06-12 12:00:00,67.55,110.4,,107.61,,41.32,3.43,0.78,14.54,3.37,,,,62.63,4.18,272.81,220.97,,,0.68,,,0.0
2021-06-12 12:00:00,2021-06-12 13:00:00,57.25,94.05,,108.29,,40.09,3.57,0.78,14.84,3.37,,,,56.55,5.23,280.65,220.95,,,0.68,,,0.0
2021-06-12 13:00:00,2021-06-12 14:00:00,42.46,67.63,,110.1,,38.43,3.6,0.79,15.13,3.32,,,,54.54,5.19,280.3,221.07,,,0.68,,,0.0
2021-06-12 14:00:00,2021-06-12 15:00:00,43.0,69.7,,107.46,,37.42,3.65,0.79,15.94,3.33,,,,51.94,4.52,276.36,221.0,,,0.68,,,0.0
2021-06-12 15:00:00,2021-06-12 16:00:00,43.29,67.2,,112.07,,35.7,3.09,0.79,15.39,3.29,,,,50.74,3.26,270.01,221.1,,,0.68,,,0.0
2021-06-12 16:00:00,2021-06-12 17:00:00,42.79,66.7,,102.72,,33.73,3.26,0.8,16.18,3.32,,,,49.64,2.18,263.27,221.1,,,0.68,,,0.0
2021-06-12 17:00:00,2021-06-12 18:00:00,41.39,63.13,,93.76,,32.91,3.79,0.8,15.23,3.2,,,,49.79,1.54,256.46,220.87,,,0.68,,,0.0
2021-06-12 18:00:00,2021-06-12 19:00:00,32.37,47.73,,74.87,,33.22,3.51,0.81,14.73,3.01,,,,52.44,0.93,256.01,220.73,,,0.68,,,0.0
2021-06-12 19:00:00,2021-06-12 20:00:00,27.45,40.1,,68.48,,33.59,3.39,0.83,13.68,2.96,,,,54.72,0.79,254.75,220.78,,,0.68,,,0.0
2021-06-12 20:00:00,2021-06-12 21:00:00,35.97,57.5,,75.85,,36.09,3.81,0.81,13.11,2.94,,,,60.32,0.76,246.08,220.7,,,0.68,,,0.0
2021-06-12 21:00:00,2021-06-12 22:00:00,125.47,219.8,,64.6,,34.59,3.52,0.85,11.72,2.95,,,,63.07,0.72,253.13,220.5,,,0.68,,,0.0
2021-06-12 22:00:00,2021-06-12 23:00:00,24.78,35.63,,64.47,,33.55,3.64,0.83,11.32,2.82,,,,69.05,0.66,250.88,220.23,,,0.68,,,0.0
2021-06-12 23:00:00,2021-06-13 00:00:00,22.21,31.15,,30.98,,35.05,3.91,0.83,10.93,2.82,,,,59.77,0.67,254.49,220.4,,,0.68,,,0.0
2021-06-13 00:00:00,2021-06-13 01:00:00,66.22,109.4,,64.14,,35.94,2.14,0.8,11.25,2.81,,,,59.15,0.7,256.8,220.6,,,0.68,,,0.0
2021-06-13 01:00:00,2021-06-13 02:00:00,43.91,67.45,,64.82,,37.64,2.12,0.81,10.93,2.9,,,,66.5,0.69,250.36,220.45,,,0.68,,,0.0
2021-06-13 02:00:00,2021-06-13 03:00:00,53.86,85.57,,65.17,,38.49,2.17,0.83,11.16,2.97,,,,75.05,0.64,254.0,220.47,,,0.68,,,0.0
2021-06-13 03:00:00,2021-06-13 04:00:00,39.34,61.1,,66.73,,38.86,2.1,0.85,10.88,3.02,,,,74.98,0.65,250.42,220.43,,,0.68,,,0.0
2021-06-13 04:00:00,2021-06-13 05:00:00,26.98,38.92,,65.1,,38.58,2.11,0.86,10.52,3.0,,,,75.97,0.63,250.54,220.5,,,0.68,,,0.0
2021-06-13 05:00:00,2021-06-13 06:00:00,29.18,42.12,,65.96,,38.3,2.12,0.89,10.48,3.0,,,,78.24,0.65,254.35,220.27,,,0.68,,,0.0
2021-06-13 06:00:00,2021-06-13 07:00:00,34.46,52.27,,65.56,,38.94,2.13,0.89,10.82,3.04,,,,74.83,0.84,252.58,220.47,,,0.68,,,0.0
2021-06-13 07:00:00,2021-06-13 08:00:00,31.98,46.6,,67.8,,38.55,2.16,0.86,12.09,3.15,,,,65.14,1.46,258.31,220.55,,,0.68,,,0.0
2021-06-13 08:00:00,2021-06-13 09:00:00,28.87,41.85,,79.19,,37.06,2.24,0.84,13.59,3.21,,,,60.54,2.56,268.0,220.7,,,0.68,,,0.0
2021-06-13 09:00:00,2021-06-13 10:00:00,29.13,42.15,,93.58,,37.42,2.23,0.81,14.69,3.34,,,,53.78,3.47,272.45,221.2,,,0.68,,,0.0
2021-06-13 10:00:00,2021-06-13 11:00:00,27.66,39.85,,105.77,,38.26,2.26,0.79,16.65,3.42,,,,51.34,5.02,280.82,221.05,,,0.68,,,0.0
2021-06-13 11:00:00,2021-06-13 12:00:00,32.89,48.2,,102.51,,38.82,2.27,0.79,16.25,3.5,,,,50.1,5.82,288.52,220.8,,,0.68,,,0.0
2021-06-13 12:00:00,2021-06-13 13:00:00,178.43,243.27,,84.04,,37.18,2.26,0.79,14.6,3.44,,,,58.5,3.43,271.93,221.03,,,0.68,,,0.0
2021-06-13 13:00:00,2021-06-13 14:00:00,,,,70.89,,35.83,2.29,0.8,18.25,3.21,,,,56.71,5.52,279.1,220.8,,,0.68,,,0.0
2021-06-13 14:00:00,2021-06-13 15:00:00,82.82,104.85,,78.52,,36.5,2.28,0.78,13.91,3.45,,,,54.69,5.07,281.52,220.95,,,0.68,,,0.0
2021-06-13 15:00:00,2021-06-13 16:00:00,20.29,27.73,,82.16,,35.53,2.27,0.77,14.91,3.3,,,,55.55,2.95,269.28,221.1,,,0.68,,,0.0
2021-06-13 16:00:00,2021-06-13 17:00:00,37.16,57.8,,75.98,,36.04,2.27,0.76,14.27,3.32,,,,55.15,2.12,263.21,220.8,,,0.68,,,0.0
2021-06-13 17:00:00,2021-06-13 18:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13 18:00:00,2021-06-13 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13 19:00:00,2021-06-13 20:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13 20:00:00,2021-06-13 21:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13 21:00:00,2021-06-13 22:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13 22:00:00,2021-06-13 23:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13 23:00:00,2021-06-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 00:00:00,2021-06-14 01:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 01:00:00,2021-06-14 02:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 02:00:00,2021-06-14 03:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 03:00:00,2021-06-14 04:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 04:00:00,2021-06-14 05:00:00,26.91,41.75,,34.28,,36.86,2.21,0.91,11.48,2.96,,,,81.05,0.61,251.26,220.4,,,0.68,,,0.0
2021-06-14 05:00:00,2021-06-14 06:00:00,21.84,31.87,,36.16,,36.5,2.25,0.9,10.97,2.91,,,,82.29,0.61,252.84,220.33,,,0.68,,,0.0
2021-06-14 06:00:00,2021-06-14 07:00:00,16.78,22.83,,38.09,,36.89,2.25,0.87,11.67,2.98,,,,77.88,0.85,255.68,220.33,,,0.68,,,0.0
2021-06-14 07:00:00,2021-06-14 08:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 08:00:00,2021-06-14 09:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 09:00:00,2021-06-14 10:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14 10:00:00,2021-06-14 11:00:00,135.89,186.3,,35.69,,39.18,2.25,0.76,16.42,3.56,,,,46.15,6.08,289.7,221.2,,,0.68,,,0.0
2021-06-14 11:00:00,2021-06-14 12:00:00,58.65,77.33,,33.24,,40.69,2.14,0.78,15.45,3.68,,,,43.71,6.39,289.64,220.97,,,0.68,,,0.0
2021-06-14 12:00:00,2021-06-14 13:00:00,165.89,236.18,,34.41,,38.57,2.21,0.76,16.14,3.78,,,,40.23,6.61,291.89,221.3,,,0.68,,,0.0
2021-06-14 13:00:00,2021-06-14 14:00:00,117.16,190.1,,32.98,,38.28,2.17,0.77,15.74,3.92,,,,37.59,6.71,291.74,220.85,,,0.68,,,0.0
2021-06-14 14:00:00,2021-06-14 15:00:00,62.82,85.07,,34.64,,37.97,2.17,0.78,15.87,3.99,,,,34.98,6.09,288.91,221.07,,,0.68,,,0.0
2021-06-14 15:00:00,2021-06-14 16:00:00,37.41,52.85,,34.41,,36.45,2.13,0.78,15.35,3.98,,,,34.05,5.05,277.92,221.25,,,0.68,,,0.0
2021-06-14 16:00:00,2021-06-14 17:00:00,87.12,128.3,,37.35,,36.23,2.17,0.78,15.86,4.14,,,,35.2,3.74,269.53,221.15,,,0.68,,,0.0
2021-06-14 17:00:00,2021-06-14 18:00:00,252.61,375.37,,44.93,,34.5,2.23,0.78,16.3,4.08,,,,37.94,2.29,262.11,220.93,,,0.68,,,0.0
2021-06-14 18:00:00,2021-06-14 19:00:00,59.53,86.37,,72.52,,35.47,2.35,0.75,22.12,3.51,,,,44.92,1.15,253.8,220.93,,,0.68,,,0.0
2021-06-14 19:00:00,2021-06-14 20:00:00,39.09,51.57,,79.2,,38.11,2.36,0.76,25.88,3.23,,,,53.47,0.9,256.36,220.8,,,0.68,,,0.0
2021-06-14 20:00:00,2021-06-14 21:00:00,30.41,44.7,,59.55,,39.17,2.25,0.76,14.14,3.07,,,,58.34,0.81,253.98,220.7,,,0.68,,,0.0
2021-06-14 21:00:00,2021-06-14 22:00:00,53.18,85.07,,47.84,,37.65,2.23,0.77,13.58,3.01,,,,59.79,0.82,254.75,220.63,,,0.68,,,0.0
2021-06-14 22:00:00,2021-06-14 23:00:00,47.38,73.37,,47.46,,37.83,2.25,0.78,13.44,3.02,,,,61.28,0.77,255.28,220.63,,,0.68,,,0.0
2021-06-14 23:00:00,2021-06-15 00:00:00,58.7,90.8,,44.87,,37.75,2.25,0.78,13.55,3.0,,,,62.97,0.76,251.78,220.65,,,0.68,,,0.0
2021-06-15 00:00:00,2021-06-15 01:00:00,43.1,66.3,,19.82,,37.63,10.2,0.81,12.53,3.05,,,,64.85,0.76,260.35,220.7,,,0.68,,,0.0
2021-06-15 01:00:00,2021-06-15 02:00:00,41.92,63.27,,20.63,,38.47,10.19,0.82,12.02,3.09,,,,69.19,0.73,251.79,220.58,,,0.68,,,0.0
2021-06-15 02:00:00,2021-06-15 03:00:00,49.26,74.83,,18.7,,40.47,10.92,0.87,11.42,3.07,,,,73.03,0.7,252.98,220.63,,,0.68,,,0.0
2021-06-15 03:00:00,2021-06-15 04:00:00,38.81,59.05,,17.68,,40.12,10.35,0.88,11.27,3.01,,,,75.37,0.67,256.72,220.45,,,0.68,,,0.0
2021-06-15 04:00:00,2021-06-15 05:00:00,37.02,58.5,,17.41,,40.94,10.02,0.89,11.16,2.99,,,,77.46,0.66,251.86,220.3,,,0.68,,,0.0
2021-06-15 05:00:00,2021-06-15 06:00:00,35.05,54.33,,19.29,,39.01,11.01,0.88,11.35,2.98,,,,77.01,0.67,255.39,220.5,,,0.68,,,0.0
2021-06-15 06:00:00,2021-06-15 07:00:00,32.1,49.3,,19.35,,40.24,11.47,0.89,11.53,2.96,,,,76.2,0.76,262.27,220.2,,,0.68,,,0.0
2021-06-15 07:00:00,2021-06-15 08:00:00,27.2,41.8,,19.9,,38.85,10.78,0.85,12.34,3.11,,,,66.49,1.43,260.12,220.73,,,0.68,,,0.0
2021-06-15 08:00:00,2021-06-15 09:00:00,23.22,33.1,,18.92,,38.84,11.0,0.82,13.24,3.23,,,,61.15,2.09,262.55,220.9,,,0.68,,,0.0
2021-06-15 09:00:00,2021-06-15 10:00:00,30.39,45.13,,18.98,,39.41,11.41,0.79,14.57,3.37,,,,56.92,3.23,268.62,220.93,,,0.68,,,0.0
2021-06-15 10:00:00,2021-06-15 11:00:00,33.96,52.12,,18.97,,39.2,10.67,0.77,15.47,3.51,,,,49.63,4.98,279.4,221.17,,,0.68,,,0.0
2021-06-15 11:00:00,2021-06-15 12:00:00,35.86,55.4,,19.06,,38.66,10.3,0.76,17.53,3.63,,,,43.42,6.02,287.72,221.4,,,0.68,,,0.0
2021-06-15 12:00:00,2021-06-15 13:00:00,60.85,92.83,,17.87,,38.59,9.35,0.76,17.6,3.97,,,,39.26,6.49,286.83,221.03,,,0.68,,,0.0
2021-06-15 13:00:00,2021-06-15 14:00:00,48.66,72.73,,17.49,,37.36,8.74,0.76,17.08,4.11,,,,38.43,5.86,287.89,221.23,,,0.68,,,0.0
2021-06-15 14:00:00,2021-06-15 15:00:00,76.63,119.55,,17.66,,35.67,7.83,0.76,16.39,4.13,,,,38.28,5.59,283.36,221.15,,,0.68,,,0.0
2021-06-15 15:00:00,2021-06-15 16:00:00,100.05,156.55,,18.91,,34.37,7.34,0.76,17.08,3.92,,,,38.49,3.9,272.88,221.32,,,0.68,,,0.0
2021-06-15 16:00:00,2021-06-15 17:00:00,117.26,184.3,,23.9,,35.05,7.83,0.76,20.16,3.56,,,,46.0,1.85,259.4,221.3,,,0.68,,,0.0
2021-06-15 17:00:00,2021-06-15 18:00:00,70.53,113.6,,22.66,,33.6,6.96,0.75,18.53,3.21,,,,47.91,1.49,257.42,220.7,,,0.68,,,0.0
2021-06-15 18:00:00,2021-06-15 19:00:00,57.09,90.15,,24.17,,32.94,7.39,0.77,14.36,3.12,,,,48.73,0.97,254.85,220.7,,,0.68,,,0.0
2021-06-15 19:00:00,2021-06-15 20:00:00,54.41,84.7,,23.41,,32.59,8.35,0.76,14.0,2.88,,,,52.08,0.8,250.34,220.5,,,0.68,,,0.0
2021-06-15 20:00:00,2021-06-15 21:00:00,79.48,128.5,,26.29,,36.26,7.91,0.8,19.93,2.87,,,,61.21,0.75,255.8,220.57,,,0.68,,,0.0
2021-06-15 21:00:00,2021-06-15 22:00:00,70.3,110.83,,31.56,,38.1,8.92,0.84,12.02,2.9,,,,66.14,0.72,253.86,220.43,,,0.68,,,0.0
2021-06-15 22:00:00,2021-06-15 23:00:00,49.6,73.2,,22.02,,38.66,8.08,0.88,11.04,2.95,,,,70.84,0.68,248.03,220.4,,,0.68,,,0.0
2021-06-15 23:00:00,2021-06-16 00:00:00,45.0,65.5,,20.44,,37.09,7.99,0.87,10.88,2.94,,,,70.8,0.69,253.53,220.35,,,0.68,,,0.0
2021-06-16 00:00:00,2021-06-16 01:00:00,30.76,43.9,,24.46,,38.68,4.13,0.89,10.73,2.94,,,,68.11,0.67,249.72,220.35,,,0.68,,,0.0
2021-06-16 01:00:00,2021-06-16 02:00:00,44.55,64.65,,20.99,,38.64,3.91,0.89,11.06,2.95,,,,70.84,0.66,249.87,220.35,,,0.68,,,0.0
2021-06-16 02:00:00,2021-06-16 03:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-06-16 03:00:00,2021-06-16 04:00:00,41.29,60.53,,23.16,,39.73,4.21,0.89,10.74,2.93,,,,70.92,0.67,252.89,220.35,,,0.68,,,0.0
2021-06-16 04:00:00,2021-06-16 05:00:00,33.48,48.27,,20.84,,39.68,4.64,0.87,10.68,2.92,,,,70.63,0.68,250.94,220.43,,,0.68,,,0.0
2021-06-16 05:00:00,2021-06-16 06:00:00,36.34,54.65,,19.98,,39.3,4.38,0.86,10.58,2.93,,,,71.63,0.67,253.48,220.45,,,0.68,,,0.0
2021-06-16 06:00:00,2021-06-16 07:00:00,38.05,56.5,,24.05,,40.93,4.2,0.85,10.84,2.93,,,,70.24,0.84,252.3,220.45,,,0.68,,,0.0
2021-06-16 07:00:00,2021-06-16 08:00:00,41.0,61.15,,28.44,,41.79,4.76,0.82,11.77,3.08,,,,62.77,1.42,259.32,220.7,,,0.68,,,0.0
2021-06-16 08:00:00,2021-06-16 09:00:00,46.63,70.95,,21.18,,37.84,4.36,0.79,13.41,3.08,,,,61.5,2.48,261.02,220.8,,,0.68,,,0.0
2021-06-16 09:00:00,2021-06-16 10:00:00,42.58,64.2,,20.43,,37.0,4.15,0.77,14.33,3.16,,,,55.71,3.76,272.73,220.9,,,0.68,,,0.0
2021-06-16 10:00:00,2021-06-16 11:00:00,74.45,110.3,,21.14,,37.51,4.64,0.76,15.46,3.19,,,,55.21,4.58,277.78,221.0,,,0.68,,,0.0
2021-06-16 11:00:00,2021-06-16 12:00:00,395.9,195.25,,18.36,,37.5,4.84,0.76,15.38,3.27,,,,54.57,3.74,270.01,220.8,,,0.68,,,0.0
2021-06-16 12:00:00,2021-06-16 13:00:00,124.96,169.8,,19.21,,37.56,3.46,0.76,15.49,3.23,,,,55.07,3.65,273.19,221.07,,,0.68,,,0.0
2021-06-16 13:00:00,2021-06-16 14:00:00,71.27,94.0,,20.24,,37.47,3.02,0.76,15.94,3.2,,,,55.6,3.01,265.38,220.95,,,0.68,,,0.0
2021-06-16 14:00:00,2021-06-16 15:00:00,65.25,83.47,,21.47,,39.31,2.96,0.78,15.34,3.24,,,,57.33,4.39,275.69,221.0,,,0.68,,,0.0
2021-06-16 15:00:00,2021-06-16 16:00:00,235.95,311.53,,19.86,,39.23,2.7,0.78,16.51,3.41,,,,50.14,4.19,269.72,221.3,,,0.68,,,0.0
2021-06-16 16:00:00,2021-06-16 17:00:00,84.31,110.05,,22.27,,39.3,2.58,0.78,17.09,3.4,,,,54.88,2.8,266.0,221.1,,,0.68,,,0.0
2021-06-16 17:00:00,2021-06-16 18:00:00,221.67,296.23,,23.78,,37.64,2.74,0.79,15.47,3.19,,,,58.57,1.48,258.62,220.75,,,0.68,,,0.0
2021-06-16 18:00:00,2021-06-16 19:00:00,30.59,41.6,,30.45,,40.39,2.98,0.81,13.61,3.2,,,,62.27,0.89,251.82,220.55,,,0.68,,,0.0
2021-06-16 19:00:00,2021-06-16 20:00:00,36.16,51.3,,35.88,,42.3,2.71,0.82,12.86,3.12,,,,67.79,0.77,254.36,220.75,,,0.68,,,0.0
2021-06-16 20:00:00,2021-06-16 21:00:00,28.83,39.67,,47.47,,48.69,2.82,0.85,12.25,3.07,,,,70.76,0.69,255.23,220.38,,,0.68,,,0.0
2021-06-16 21:00:00,2021-06-16 22:00:00,72.43,110.4,,34.49,,47.38,3.54,0.87,12.12,3.06,,,,74.88,0.68,258.57,220.2,,,0.68,,,0.0
